Order,FileName,Trace_Number,Ra,Stimulation_Type,First_Peak,Total_Area
1,2020_02_13_0009.abf,1,22.71748,control,-71.42469025,-1361.427063
2,2020_02_13_0009.abf,2,23.92803,control,-133.9924927,-2316.967773
3,2020_02_13_0009.abf,3,24.65131,control,-106.2282867,-2217.814331
4,2020_02_13_0009.abf,4,25.29553,control,-140.5029144,-2194.39624
5,2020_02_13_0009.abf,5,25.94595,control,-130.1133728,-2321.506165
6,2020_02_13_0009.abf,6,26.1834,control,-143.1748962,-2271.860718
7,2020_02_13_0009.abf,7,26.55932,control,-230.7942352,-3610.961792
8,2020_02_13_0009.abf,8,27.00526,control,-190.1990967,-3292.945862
9,2020_02_13_0009.abf,9,28.2816,control,-220.9879456,-2976.464783
10,2020_02_13_0009.abf,10,28.84778,control,-262.2476807,-4072.802124
11,2020_02_13_0009.abf,11,28.93303,control,-263.2920837,-3464.670227
12,2020_02_13_0009.abf,12,29.67632,control,-283.4608154,-3488.514954
13,2020_02_13_0009.abf,13,30.02126,control,-239.6646881,-3331.395203
14,2020_02_13_0010.abf,1,,control,-271.377533,-3690.745239
15,2020_02_13_0010.abf,2,,laser,-278.4728699,-3839.058777
16,2020_02_13_0010.abf,3,,laser,-281.3872986,-3328.708557
17,2020_02_13_0010.abf,4,,laser,-233.413681,-2931.675293
18,2020_02_13_0010.abf,5,,laser,-215.3625336,-3083.468201
19,2020_02_13_0010.abf,6,,laser,-277.5115662,-3762.83667
20,2020_02_13_0010.abf,7,,laser,-255.5541687,-3962.389526
21,2020_02_13_0010.abf,8,,laser,-232.3913422,-2689.022644
22,2020_02_13_0010.abf,9,,laser,-268.7072449,-3564.419556
23,2020_02_13_0010.abf,10,,laser,-242.584198,-3400.863037
24,2020_02_13_0010.abf,11,,laser,-234.8785248,-3090.629456
25,2020_02_13_0010.abf,12,,laser,-248.443573,-3053.731934
26,2020_02_13_0011.abf,1,,control,-246.0784607,-2978.567993
27,2020_02_13_0011.abf,2,,laser,-261.1236267,-2642.366638
28,2020_02_13_0011.abf,3,,laser,-210.1135101,-3053.733887
29,2020_02_13_0011.abf,4,,laser,-195.0225677,-2577.30658
30,2020_02_13_0011.abf,5,,laser,-218.9636078,-2021.321121
31,2020_02_13_0011.abf,6,,laser,-253.0822449,-2729.173309
32,2020_02_13_0011.abf,7,,laser,-232.1319427,-2357.060699
33,2020_02_13_0011.abf,8,,laser,-208.2671967,-2469.643829
34,2020_02_13_0011.abf,9,,laser,-189.1174164,-1411.906372
35,2020_02_13_0011.abf,10,,laser,-240.6921082,-2739.558594
36,2020_02_13_0011.abf,11,,laser,-249.1149597,-2165.535133
37,2020_02_13_0011.abf,12,,laser,-242.874115,-2579.637787
38,2020_02_13_0012.abf,1,,laser,-278.030365,-3214.901672
39,2020_02_13_0012.abf,2,,laser,-244.5983582,-2736.426025
40,2020_02_13_0012.abf,3,,laser,-214.6453705,-2150.234497
