Cell,Ra,Stimulation_Type,First_Peak,Total_Area
2,22.71748,c,-71.42469025,-1361.427063
2,23.92803,c,-133.9924927,-2316.967773
2,24.65131,c,-106.2282867,-2217.814331
2,25.29553,c,-140.5029144,-2194.39624
2,25.94595,c,-130.1133728,-2321.506165
2,26.1834,c,-143.1748962,-2271.860718
2,26.55932,c,-230.7942352,-3610.961792
2,27.00526,c,-190.1990967,-3292.945862
2,28.2816,c,-220.9879456,-2976.464783
2,28.84778,c,-262.2476807,-4072.802124
2,28.93303,c,-263.2920837,-3464.670227
2,29.67632,c,-283.4608154,-3488.514954
2,30.02126,c,-239.6646881,-3331.395203
2,NA,c,-271.377533,-3690.745239
2,NA,l,-278.4728699,-3839.058777
2,NA,l,-281.3872986,-3328.708557
2,NA,l,-233.413681,-2931.675293
2,NA,l,-215.3625336,-3083.468201
2,NA,l,-277.5115662,-3762.83667
2,NA,l,-255.5541687,-3962.389526
2,NA,l,-232.3913422,-2689.022644
2,NA,l,-268.7072449,-3564.419556
2,NA,l,-242.584198,-3400.863037
2,NA,l,-234.8785248,-3090.629456
2,NA,l,-248.443573,-3053.731934
2,NA,c,-246.0784607,-2978.567993
2,NA,l,-261.1236267,-2642.366638
2,NA,l,-210.1135101,-3053.733887
2,NA,l,-195.0225677,-2577.30658
2,NA,l,-218.9636078,-2021.321121
2,NA,l,-253.0822449,-2729.173309
2,NA,l,-232.1319427,-2357.060699
2,NA,l,-208.2671967,-2469.643829
2,NA,l,-189.1174164,-1411.906372
2,NA,l,-240.6921082,-2739.558594
2,NA,l,-249.1149597,-2165.535133
2,NA,l,-242.874115,-2579.637787
2,NA,l,-278.030365,-3214.901672
2,NA,l,-244.5983582,-2736.426025
2,NA,l,-214.6453705,-2150.234497
2,NA,l,-223.8006439,-2268.594147
2,39.90926,c,-243.937149,-2992.821014
2,39.96968,c,-232.2048492,-2865.506836
2,40.12534,c,-225.9385681,-2233.799225
2,40.24274,c,-227.8238831,-2436.461975
2,40.72246,c,-213.4602661,-2303.856934
2,40.47912,c,-207.0041046,-2124.183998
2,40.53351,c,-213.4195862,-2831.035828
2,41.80742,c,-235.9374847,-2337.594345
2,41.46511,c,-228.1005707,-2641.358612
2,42.05582,c,-196.0449066,-2240.686058
2,42.16352,c,-229.1259613,-2458.312393
2,42.68672,c,-254.8583679,-2718.191681
2,41.73882,c,-197.9492035,-2663.72229
2,43.0649,c,-193.3349457,-2968.135681
2,42.83706,c,-224.3652191,-2774.236755
2,42.38015,c,-218.1152191,-2675.882111
2,42.62695,c,-237.6220398,-2683.838745
2,43.26985,c,-201.8310394,-2673.039124
2,43.34178,c,-211.425766,-3015.734009
2,43.54265,c,-236.5112,-2321.26442
2,43.63151,m,-157.7758636,-2291.436462
2,43.86207,m,-157.9589691,-1483.245758
2,43.76834,m,-151.4282074,-1960.98053
2,43.88184,m,-162.8722992,-2377.40152
2,43.84079,m,-189.7277679,-2245.968811
2,43.43649,m,-175.1708832,-2109.015106
2,43.61328,m,-177.2765961,-2109.811234
2,44.23192,m,-227.9052582,-1944.268402
2,44.03461,m,-175.689682,-1549.502243
2,44.17107,m,-171.7529144,-2735.173706
2,44.94798,m,-199.6764984,-2078.158363
2,44.79683,m,-177.7648773,-1853.555023
2,44.65624,m,-220.9167328,-2069.735443
2,45.06723,m,-209.7472992,-2345.896164
2,45.20132,c,-187.3046722,-2447.831696
2,45.86858,c,-172.2656097,-2138.253189
2,45.99374,c,-202.3925629,-2821.85022
2,45.57595,c,-167.9931488,-2101.027557
2,45.7919,c,-164.7460785,-2094.550537
2,45.78664,c,-146.5576019,-1305.317184
2,46.17132,c,-196.7529144,-2407.333191
2,46.8407,c,-220.7031097,-2394.274841
2,44.27818,c,-165.3076019,-2347.023743
2,46.18324,c,-207.0800629,-2099.210541
2,46.79044,c,-240.820282,-2525.570663
2,46.79044,c,-114.1357269,-1930.865295
2,46.66464,c,-193.6035004,-1541.638275
2,46.4404,c,-199.5849457,-2238.659668
2,47.10045,c,-223.4618988,-1988.5755
2,47.67272,c,-206.6894379,-2800.136658
2,47.30839,c,-213.2812347,-2068.478195
2,47.94469,c,-173.8525238,-2490.907471
2,48.04008,c,-172.9492035,-2227.392731
2,48.17817,m,-166.6992035,-1432.251308
