Order,FileName,Trace_Number,Ra,Stimulation_Type,Total_Area,First_Peak
1,2020_02_13_0000.abf,1,29.42884176,control,16787.54688,123.3053741
2,2020_02_13_0000.abf,2,29.76978115,control,18511.37695,155.5559387
3,2020_02_13_0000.abf,3,30.03073733,control,23635.24414,204.0451202
4,2020_02_13_0000.abf,4,30.86317717,control,18143.12109,191.0447083
5,2020_02_13_0000.abf,5,30.53144068,control,19116.87695,160.8838348
6,2020_02_13_0000.abf,6,31.17209177,control,16018.08789,175.42099
7,2020_02_13_0000.abf,7,30.68211047,control,16678.43359,172.2785339
8,2020_02_13_0000.abf,8,32.01731249,control,18034.20117,198.6901398
9,2020_02_13_0000.abf,9,31.52709663,control,20570.75,157.0185547
10,2020_02_13_0000.abf,10,32.14758063,control,17573.27734,207.4854889
11,2020_02_13_0001.abf,1,32.55207234,control,13688.59375,121.8112793
12,2020_02_13_0001.abf,2,32.73054317,monochromator,15634.14258,120.8246002
13,2020_02_13_0001.abf,3,32.0486896,monochromator,16894.7832,114.1734772
14,2020_02_13_0001.abf,4,32.06053304,monochromator,14982.80859,100.6628418
15,2020_02_13_0001.abf,5,31.44755491,monochromator,16567.88281,166.6805878
16,2020_02_13_0001.abf,6,31.59410522,monochromator,13757.28809,113.4511032
17,2020_02_13_0001.abf,7,32.10870238,monochromator,10391.85352,80.9330368
18,2020_02_13_0001.abf,8,31.99514136,monochromator,11019.43848,142.7823029
19,2020_02_13_0001.abf,9,31.66364489,monochromator,18892.61133,153.8907776
20,2020_02_13_0001.abf,10,32.16403343,monochromator,13765.31934,132.6711884
21,2020_02_13_0001.abf,11,32.36665669,monochromator,15985.52246,202.1624451
22,2020_02_13_0001.abf,12,32.64937503,monochromator,12599.42969,123.8868332
23,2020_02_13_0001.abf,13,32.85049416,monochromator,15308.66406,132.1648865
24,2020_02_13_0002.abf,1,,laser,20419.73438,238.9479523
25,2020_02_13_0002.abf,2,,laser,21567.36133,252.4183197
26,2020_02_13_0002.abf,3,,laser,21849.29297,278.8496399
27,2020_02_13_0002.abf,4,,laser,21639.07227,204.523941
28,2020_02_13_0002.abf,5,,laser,16470.8418,197.9843903
29,2020_02_13_0002.abf,6,,laser,20823.89844,231.2220612
30,2020_02_13_0002.abf,7,,laser,18525.56445,192.0977783
31,2020_02_13_0002.abf,8,,laser,20261.12109,168.7182159
32,2020_02_13_0002.abf,9,,laser,14813.58984,168.1818695
33,2020_02_13_0002.abf,10,,laser,15511.00586,151.8754272
34,2020_02_13_0002.abf,11,,laser,15857.24902,171.3229065
35,2020_02_13_0002.abf,12,,laser,19371.97656,278.3180847
36,2020_02_13_0003.abf,1,37.41506308,control,18191.62305,199.8107147
37,2020_02_13_0003.abf,2,39.66541746,control,16577.47266,185.2718201
38,2020_02_13_0003.abf,3,39.86796899,control,19279.2793,152.4855194
39,2020_02_13_0003.abf,4,40.59610916,control,13351.06348,178.1321716
40,2020_02_13_0003.abf,5,40.27761909,control,15231.71582,174.7679443
41,2020_02_13_0003.abf,6,39.8485759,control,17020.43555,213.1550751
42,2020_02_13_0003.abf,7,40.74975926,control,17536.61523,178.8522339
43,2020_02_13_0003.abf,8,40.25782552,control,15205.14941,171.305191
44,2020_02_13_0003.abf,9,39.98076365,control,15406.1875,138.5251617
45,2020_02_13_0003.abf,10,40.11753674,control,15327.58008,140.8735199
46,2020_02_13_0003.abf,11,39.58707807,control,17153.77148,233.4533997
47,2020_02_13_0003.abf,12,40.0283306,control,11555.91699,136.1261292
48,2020_02_13_0004.abf,1,,laser,18117.4668,178.4916229
49,2020_02_13_0004.abf,2,,laser,12813.43848,138.6912689
