Order,FileName,Trace_Number,Ra,Stimulation_Type,First_Peak,Total_Area
1,2020_02_13_0026.abf,1,27.12075,control,-75.87889862,-1069.492142
2,2020_02_13_0026.abf,2,27.80145,control,-27.96630669,-378.909471
3,2020_02_13_0026.abf,3,28.03101,control,-83.31298065,-1053.113129
4,2020_02_13_0026.abf,4,28.60987,control,-65.41747284,-733.9811707
5,2020_02_13_0026.abf,5,30.1567,control,-59.64354706,-799.1429901
6,2020_02_13_0026.abf,6,30.8121,control,-101.7455978,-1552.562927
7,2020_02_13_0026.abf,7,31.71026,control,-119.0307465,-1111.459225
8,2020_02_13_0026.abf,8,34.0433,control,-136.4013519,-1411.94038
9,2020_02_13_0026.abf,9,36.72397,control,-161.816391,-1990.639709
10,2020_02_13_0026.abf,10,38.39661,control,-118.7743988,-1652.093719
11,2020_02_13_0026.abf,11,39.21984,control,-100.0121994,-2016.270233
12,2020_02_13_0026.abf,12,38.52143,control,-95.99608612,-1149.532684
13,2020_02_13_0026.abf,13,38.43891,control,-127.3071136,-1944.386963
14,2020_02_13_0026.abf,14,39.10425,control,-124.0478363,-1661.170517
15,2020_02_13_0026.abf,15,39.30575,control,-152.8808441,-2218.172363
16,2020_02_13_0027.abf,1,40.82685,control,-170.9317169,-2144.688385
17,2020_02_13_0027.abf,2,41.22856,monochromator,-71.03382111,-1141.581497
18,2020_02_13_0027.abf,3,40.76478,monochromator,-176.9020691,-2513.455078
19,2020_02_13_0027.abf,4,40.65417,monochromator,-162.1426544,-1915.763733
20,2020_02_13_0027.abf,5,41.68996,monochromator,-116.2109222,-1508.166595
21,2020_02_13_0027.abf,6,41.074,monochromator,-122.3255386,-1689.41188
22,2020_02_13_0027.abf,7,41.5826,monochromator,-100.35289,-1106.849606
23,2020_02_13_0027.abf,8,41.89535,monochromator,-137.8839569,-1682.480835
24,2020_02_13_0027.abf,9,40.94535,monochromator,-203.8241119,-1956.623276
25,2020_02_13_0027.abf,10,40.60481,monochromator,-147.6828766,-1984.676575
26,2020_02_13_0027.abf,11,40.77707,monochromator,-113.9692688,-1487.371101
