Order,FileName,Trace_Number,Ra,Stimulation_Type,Total_Area
1,2020_02_13_0034.abf,1,42.11763,control,-1991.371216
2,2020_02_13_0034.abf,2,41.28425,control,-2108.280273
3,2020_02_13_0034.abf,3,41.17811,control,-1855.703857
4,2020_02_13_0034.abf,4,40.78525,control,-2158.34668
5,2020_02_13_0034.abf,5,41.01898,control,-1665.767944
6,2020_02_13_0034.abf,6,40.96177,control,-2085.489746
7,2020_02_13_0034.abf,7,41.16059,control,-1926.633545
8,2020_02_13_0034.abf,8,41.11512,control,-2150.787842
9,2020_02_13_0034.abf,9,41.1789,control,-2390.534424
10,2020_02_13_0034.abf,10,41.30756,control,-1788.085449
11,2020_02_13_0034.abf,11,41.81185,monochromator,-1485.472656
12,2020_02_13_0034.abf,12,42.89747,monochromator,-1845.617676
13,2020_02_13_0034.abf,13,43.21744,monochromator,-1396.78833
14,2020_02_13_0034.abf,14,43.60977,monochromator,-1381.638062
15,2020_02_13_0034.abf,15,43.5118,monochromator,-1542.604858
16,2020_02_13_0034.abf,16,45.16035,monochromator,-1080.130493
17,2020_02_13_0034.abf,17,44.59108,monochromator,-1787.215698
18,2020_02_13_0034.abf,18,44.84217,monochromator,-1633.323486
19,2020_02_13_0034.abf,19,45.46133,monochromator,-1686.169678
20,2020_02_13_0034.abf,20,45.20876,monochromator,-1845.212769
21,2020_02_13_0034.abf,21,45.5792,control,-1260.364868
22,2020_02_13_0034.abf,22,45.39792,control,-1458.917847
23,2020_02_13_0034.abf,23,46.10005,control,-1653.556519
24,2020_02_13_0034.abf,24,46.65898,control,-1324.900879
25,2020_02_13_0034.abf,25,46.35053,control,-1936.198975
26,2020_02_13_0034.abf,26,46.50626,control,-2089.321777
