Stimulation_Type1,Total_Area1,Session
m,15634.14258,1
m,16894.7832,1
m,14982.80859,1
m,16567.88281,1
m,13757.28809,1
m,10391.85352,1
m,11019.43848,1
m,18892.61133,1
m,13765.31934,1
m,15985.52246,1
m,12599.42969,1
m,15308.66406,1
l,20419.73438,1
l,21567.36133,1
l,21849.29297,1
l,21639.07227,1
l,16470.8418,1
l,20823.89844,1
l,18525.56445,1
l,20261.12109,1
l,14813.58984,1
l,15511.00586,1
l,15857.24902,1
l,19371.97656,1
l,18117.4668,2
l,12813.43848,2
l,16040.17383,2
l,14341.95215,2
l,12220.38086,2
l,13393.16992,2
l,15845.28809,2
l,13127.96777,2
l,12332.81152,2
l,12412.89355,2
l,12256.84277,2
l,15905.02734,2
l,14943.36426,2
l,15174.89844,2
m,13164.60449,2
m,15888.22559,2
m,10236.73438,2
m,16481.56641,2
m,12409.33008,2
m,13908.0293,2
m,15087.60547,2
m,17433.05078,2
m,13857.34863,2
m,13690.15918,2
m,14409.50684,2
m,16174.23633,2
m,15136.99805,2
